iter	RMSE
579	3049.069378
580	3047.282022
581	3046.983607
582	3046.064497
583	3043.764488
584	3043.399068
585	3042.109434
586	3041.728571
587	3039.896996
588	3038.440151
589	3037.637329
590	3036.013201
591	3033.667794
592	3031.439638
593	3030.749571
594	3028.855678
595	3027.017219
596	3026.550026
597	3025.485435
598	3023.340223
599	3021.357489
600	3019.354405
601	3018.285714
602	3017.79899
603	3015.392912
604	3015.039275
605	3012.852043
606	3011.838379
607	3009.425429
608	3007.52714
609	3006.436324
610	3006.11058
611	3004.447809
612	3001.76076
613	2999.440555
614	2997.405718
615	2995.384776
616	2994.434987
617	2993.910507
618	2992.35409
619	2989.836763
620	2988.307828
621	2985.128165
622	2983.917083
623	2982.790911
624	2980.740459
625	2979.151071
626	2977.290446
627	2975.300621
628	2973.94048
629	2973.504235
630	2973.170647
631	2971.554733
632	2969.821129
633	2967.23004
634	2966.272875
635	2965.140114
636	2962.962596
637	2960.934953
638	2958.931421
639	2957.017743
640	2953.54057
641	2952.671486
642	2951.629637
643	2950.680784
644	2947.429201
645	2946.601618
646	2944.501074
647	2944.171892
648	2943.823439
649	2941.875781
650	2938.958384
651	2937.136877
652	2936.171155
653	2932.490403
654	2930.362021
655	2929.396048
656	2927.771313
657	2927.31817
658	2925.532034
659	2924.884476
660	2922.994334
661	2919.693982
662	2917.121188
663	2914.731867
664	2911.767341
665	2909.799903
666	2908.91628
667	2906.183749
668	2904.296098
669	2903.974289
670	2900.915581
671	2899.714788
672	2898.76632
673	2898.352972
674	2895.907832
675	2894.350298
676	2893.429156
677	2891.170127
678	2889.21839
679	2887.416264
680	2886.931495
681	2885.983331
682	2885.059518
683	2883.463776
684	2880.927053
685	2878.358118
686	2877.453617
687	2875.948576
688	2875.132015
689	2873.10763
690	2870.65532
691	2870.348558
692	2868.81349
693	2868.513515
694	2867.894279
695	2865.30479
696	2864.265999
697	2861.693529
698	2861.402276
699	2861.24373
700	2859.564841
701	2857.63569
702	2855.726664
703	2854.26644
704	2853.036985
705	2851.743829
706	2850.912146
707	2849.038316
708	2848.415647
709	2847.014239
710	2844.381991
711	2842.595337
712	2841.779868
713	2838.559768
714	2836.676235
715	2834.747495
716	2833.081024
717	2831.725296
718	2830.797969
719	2828.91735
720	2827.795619
721	2825.301671
722	2823.831049
723	2822.784608
724	2821.96722
725	2820.147118
726	2818.969856
727	2817.374696
728	2815.948743
729	2815.301485
730	2814.287881
731	2810.964149
732	2810.794061
733	2809.796733
734	2809.19808
735	2807.240106
736	2804.666082
737	2802.824492
738	2802.467947
739	2801.879769
740	2800.81054
741	2797.827721
742	2796.143117
743	2794.001689
744	2792.964294
745	2790.834379
746	2789.170275
747	2787.763764
748	2786.218589
749	2785.135216
750	2784.425547
751	2784.120843
752	2783.317663
753	2782.483333
754	2781.585927
755	2779.404337
756	2777.425772
757	2776.719546
758	2775.065693
759	2772.770602
760	2770.795232
761	2770.636511
762	2769.34759
763	2767.495936
764	2766.097545
765	2765.320546
766	2763.512383
767	2762.037143
768	2759.203556
769	2758.509024
770	2756.695714
771	2755.947342
772	2754.565655
773	2753.310826
774	2752.744424
775	2752.499607
776	2750.5722
777	2749.505381
778	2747.87452
779	2747.100589
780	2745.300669
781	2743.558332
782	2743.400951
783	2742.638264
784	2741.205213
785	2738.740809
786	2736.615305
787	2735.892133
788	2735.535015
789	2734.049806
790	2732.759872
791	2731.033937
792	2729.411197
793	2727.07543
794	2725.918627
795	2724.464415
796	2722.52093
797	2721.060088
798	2719.961377
799	2718.257264
800	2716.298075
801	2714.55419
802	2713.893249
803	2712.234702
804	2711.282741
805	2709.731655
806	2709.195504
807	2708.836914
808	2708.129224
809	2706.749197
810	2704.730271
811	2703.714318
812	2702.955951
813	2702.516263
814	2702.238731
815	2699.55461
816	2695.852246
817	2692.89003
818	2692.029741
819	2691.685896
820	2690.212976
821	2688.396787
822	2686.242149
823	2684.30433
824	2682.754623
825	2680.016289
826	2679.302132
827	2677.891493
828	2675.621114
829	2675.509622
830	2674.771474
831	2673.367153
832	2671.511594
833	2669.373467
834	2668.558741
835	2666.293453
836	2664.27443
837	2664.120404
838	2662.529527
839	2661.556475
840	2661.321527
841	2659.628206
842	2657.999473
843	2656.491293
844	2655.808526
845	2654.359783
846	2652.533373
847	2651.721604
848	2649.92708
849	2649.258949
850	2647.796769
851	2645.048945
852	2644.336511
853	2643.089164
854	2642.44375
855	2641.453175
856	2639.69724
857	2637.354767
858	2636.13395
859	2634.742114
860	2633.078479
861	2631.101496
862	2629.349086
863	2627.999508
864	2626.816352
865	2625.725785
866	2624.543466
867	2621.827788
868	2620.317286
869	2618.337863
870	2616.829757
871	2616.272974
872	2614.303378
873	2611.631982
874	2609.055973
875	2607.55042
876	2606.700353
877	2605.224422
878	2604.142854
879	2602.729495
880	2601.218934
881	2600.036274
882	2599.910535
883	2598.848265
884	2598.452685
885	2597.165878
886	2595.935239
887	2595.028333
888	2593.894337
889	2592.68255
890	2592.007959
891	2590.249645
892	2588.781799
893	2586.956589
894	2585.011791
895	2584.142915
896	2583.032345
897	2581.666971
898	2580.246637
899	2579.844582
900	2577.95326
901	2577.882522
902	2576.453379
903	2575.166053
904	2574.51363
905	2572.945047
906	2572.135434
907	2570.015832
908	2568.87288
909	2567.498197
910	2566.647988
911	2565.294737
912	2563.92535
913	2563.032156
914	2561.949829
915	2561.648498
916	2560.982724
917	2558.354791
918	2556.448334
919	2554.168917
920	2553.704422
921	2552.33053
922	2552.092454
923	2551.541344
924	2550.230202
925	2549.566053
926	2547.740191
927	2547.607371
928	2547.142271
929	2545.437606
930	2545.202439
931	2544.361587
932	2543.366666
933	2541.358546
934	2539.724806
935	2538.41175
936	2537.104837
937	2536.274604
938	2536.152263
939	2534.50266
940	2532.471039
941	2530.9204
942	2530.346739
943	2528.303048
944	2527.328137
945	2526.450926
946	2522.211029
947	2519.791601
948	2517.63954
949	2514.801604
950	2513.648793
951	2513.39673
952	2511.956362
953	2511.39209
954	2510.162976
955	2508.484759
956	2506.948506
957	2505.688195
958	2504.297859
959	2502.575278
960	2502.261059
961	2500.885653
962	2499.853224
963	2498.969192
964	2498.393048
965	2497.485499
966	2496.295512
967	2495.334295
968	2492.924382
969	2491.060098
970	2490.41541
971	2490.078562
972	2489.896517
973	2489.659495
974	2487.436299
975	2486.177805
976	2484.889401
977	2484.206084
978	2483.012985
979	2482.598332
980	2481.559931
981	2480.551107
982	2479.416269
983	2479.073948
984	2477.235146
985	2475.944949
986	2473.955661
987	2471.381766
988	2468.812218
989	2468.298125
990	2467.068534
991	2466.389657
992	2464.999772
993	2463.813716
994	2462.718176
995	2461.494495
996	2460.451339
997	2458.922167
998	2457.403501
999	2456.842391
